Date Time,Temp,SpCond,pH,Orp,Turbid+,ODOsat,ODO
M/D/Y HH:MM:SS,C,uS,,mV,NTU,%,mg/L
10/5/14 22:45,13.71,624,9.3,-20.9,15.2,88.5,9.16
10/5/14 23:00,13.7,624,8.8,-10.2,15.5,88.6,9.17
10/5/14 23:15,13.68,624,8.68,-15,15.3,88.6,9.18
10/5/14 23:30,13.66,624,8.81,-9.7,15.6,88.5,9.17
10/5/14 23:45,13.64,625,8.51,-14.1,15.6,88.6,9.18
10/6/14 0:00,13.61,624,8.59,-8.5,15.8,88.5,9.19
10/6/14 0:15,13.58,625,8.56,-18.8,15.5,88.4,9.18
10/6/14 0:30,13.55,625,8.67,-9.3,15.6,88.5,9.19
10/6/14 0:45,13.52,626,8.74,-10.6,16.4,88.5,9.2
10/6/14 1:00,13.5,626,8.76,-8.4,15.6,88.5,9.21
10/6/14 1:15,13.48,626,8.72,-10.9,15.6,88.6,9.22
10/6/14 1:30,13.45,626,8.71,-7.8,16.1,88.5,9.22
10/6/14 1:45,13.43,626,8.92,-15.2,15.7,88.6,9.23
10/6/14 2:00,13.42,626,8.95,-14,15.3,88.6,9.23
10/6/14 2:15,13.4,627,8.87,-11,15.2,88.8,9.26
10/6/14 2:30,13.4,627,8.99,-13.4,15.3,88.7,9.25
10/6/14 2:45,13.39,627,8.89,-10.1,15.1,88.8,9.26
10/6/14 3:00,13.38,627,8.46,-5.3,15.3,88.8,9.26
10/6/14 3:15,13.37,628,8.74,-10.4,15.5,88.8,9.26
10/6/14 3:30,13.36,628,8.88,-12,14.8,88.9,9.28
10/6/14 3:45,13.36,627,8.89,-11.9,15.3,88.9,9.28
10/6/14 4:00,13.36,628,8.8,-7.8,15.6,89,9.28
10/6/14 4:15,13.36,628,8.92,-6.9,15.2,88.9,9.28
10/6/14 4:30,13.36,628,9.19,-11.4,15,89.1,9.29
10/6/14 4:45,13.35,628,8.93,-8.2,15.8,89,9.29
10/6/14 5:00,13.35,628,8.89,-12.9,15.4,89.1,9.29
10/6/14 5:15,13.35,629,8.86,-5.6,15.9,89.1,9.3
10/6/14 5:30,13.35,629,8.72,-6.6,15.7,89.2,9.31
10/6/14 5:45,13.34,630,8.58,-5.2,15.8,89.2,9.31
10/6/14 6:00,13.33,630,8.42,-7,15.2,89.2,9.31
